1/11/2019 Fri 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
1/14/2019 Mon 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
1/15/2019 Tue 	11:00 AM 	3:00 PM 	Curry Student Center 	#336 	reserved
1/17/2019 Thu 	11:00 AM 	3:00 PM 	Curry Student Center 	#334 	reserved
1/18/2019 Fri 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
1/21/2019 Mon 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
1/23/2019 Wed 	11:00 AM 	3:00 PM 	Curry Student Center 	#336 	reserved
1/25/2019 Fri 	11:00 AM 	3:00 PM 	Curry Student Center 	#336 	reserved
1/29/2019 Tue 	11:00 AM 	3:00 PM 	Curry Student Center 	#336 	reserved
1/30/2019 Wed 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
2/1/2019 Fri 	11:00 AM 	3:00 PM 	Curry Student Center 	#334 	reserved
2/4/2019 Mon 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
2/5/2019 Tue 	11:00 AM 	3:00 PM 	Curry Student Center 	#336 	reserved
2/6/2019 Wed 	11:00 AM 	3:00 PM 	Curry Student Center 	#336 	reserved
2/8/2019 Fri 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
2/11/2019 Mon 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
2/12/2019 Tue 	11:00 AM 	3:00 PM 	Curry Student Center 	#336 	reserved
2/13/2019 Wed 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
2/14/2019 Thu 	11:00 AM 	3:00 PM 	Curry Student Center 	#433 	reserved
2/15/2019 Fri 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
2/18/2019 Mon 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
2/19/2019 Tue 	11:00 AM 	3:00 PM 	Curry Student Center 	#336 	reserved
2/20/2019 Wed 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
2/22/2019 Fri 	11:00 AM 	3:00 PM 	Curry Student Center 	#335 	reserved
