Subject,Start Date,Start Time,End Date,End Time,Location
Study Room,1/11/2019, 11:00 AM,1/11/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,1/14/2019, 11:00 AM,1/14/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,1/15/2019, 11:00 AM,1/15/2019, 3:00 PM,Room #336 Curry Student Center
Study Room,1/17/2019, 11:00 AM,1/17/2019, 3:00 PM,Room #334 Curry Student Center
Study Room,1/18/2019, 11:00 AM,1/18/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,1/21/2019, 11:00 AM,1/21/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,1/23/2019, 11:00 AM,1/23/2019, 3:00 PM,Room #336 Curry Student Center
Study Room,1/25/2019, 11:00 AM,1/25/2019, 3:00 PM,Room #336 Curry Student Center
Study Room,1/29/2019, 11:00 AM,1/29/2019, 3:00 PM,Room #336 Curry Student Center
Study Room,1/30/2019, 11:00 AM,1/30/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/1/2019, 11:00 AM,2/1/2019, 3:00 PM,Room #334 Curry Student Center
Study Room,2/4/2019, 11:00 AM,2/4/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/5/2019, 11:00 AM,2/5/2019, 3:00 PM,Room #336 Curry Student Center
Study Room,2/6/2019, 11:00 AM,2/6/2019, 3:00 PM,Room #336 Curry Student Center
Study Room,2/8/2019, 11:00 AM,2/8/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/11/2019, 11:00 AM,2/11/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/12/2019, 11:00 AM,2/12/2019, 3:00 PM,Room #336 Curry Student Center
Study Room,2/13/2019, 11:00 AM,2/13/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/14/2019, 11:00 AM,2/14/2019, 3:00 PM,Room #433 Curry Student Center
Study Room,2/15/2019, 11:00 AM,2/15/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/18/2019, 11:00 AM,2/18/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/19/2019, 11:00 AM,2/19/2019, 3:00 PM,Room #336 Curry Student Center
Study Room,2/20/2019, 11:00 AM,2/20/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/22/2019, 11:00 AM,2/22/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/25/2019, 11:00 AM,2/25/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/26/2019, 11:00 AM,2/26/2019, 3:00 PM,Room #433 Curry Student Center
Study Room,2/27/2019, 11:00 AM,2/27/2019, 3:00 PM,Room #335 Curry Student Center
Study Room,2/28/2019, 11:00 AM,2/28/2019, 3:00 PM,Room #433 Curry Student Center
Study Room,3/4/2019, 11:00 AM,3/4/2019, 3:00 PM,Room #335 Curry Student Center
