Subject,Start Date,Start Time,End Time,Location
Study Room,9/10/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/10/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/10/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,9/11/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/11/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/11/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,9/12/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/12/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/12/2019,2:00 PM,4:00 PM,Room #335 Curry Student Center
Study Room,9/13/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/13/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/14/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/17/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/17/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/17/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,9/18/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/18/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/18/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,9/19/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/19/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/19/2019,2:00 PM,4:00 PM,Room #335 Curry Student Center
Study Room,9/20/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/20/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/21/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/21/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/21/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,9/24/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/24/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/24/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,9/25/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/25/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/25/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,9/26/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/26/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/26/2019,2:00 PM,4:00 PM,Room #335 Curry Student Center
Study Room,9/27/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/27/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/28/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,9/28/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,9/28/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,10/1/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,10/1/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,10/1/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,10/2/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,10/2/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,10/2/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,10/3/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,10/3/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,10/3/2019,2:00 PM,4:00 PM,Room #335 Curry Student Center
Study Room,10/4/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,10/4/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,10/4/2019,2:00 PM,4:00 PM,Room #334 Curry Student Center
Study Room,10/5/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,10/5/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,10/5/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,10/8/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,10/8/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,10/9/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,10/9/2019,12:00 PM,2:00 PM,Room #334 Curry Student Center
Study Room,10/9/2019,2:00 PM,4:00 PM,Room #334 Curry Student Center
Study Room,10/10/2019,10:00 AM,12:00 PM,Room #334 Curry Student Center
Study Room,10/10/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,10/10/2019,2:00 PM,4:00 PM,Room #335 Curry Student Center
Study Room,10/11/2019,2:00 PM,4:00 PM,Room #334 Curry Student Center
